developer,publisher,price,release_year
id Software,id Software,2.99,1993
Terminal Reality,Majesco,9.99,2003
Rogue Entertainment,id Software,2.99,2007
id Software,id Software,4.99,2007
Metamorf,THQ Nordic,4.99,2007
Relic Entertainment,SEGA,12.99,2006
"2K Boston,2K Australia",2K Games,19.99,2007
Relic Entertainment,SEGA,12.99,2006
Relic Entertainment,SEGA,12.99,2006
The Creative Assembly,SEGA,9.99,2004
The Creative Assembly,SEGA,4.99,2006
Big Fish Games,Big Fish Games,6.99,2007
Rockstar North,Rockstar Games,,1998
Rockstar North,Rockstar Games,,1999
Rockstar North,Rockstar Games,9.99,2004
Rockstar San Diego,Rockstar Games,9.99,2003
Remedy Entertainment,Rockstar Games,9.99,2003
Crystal Dynamics,Square Enix,6.99,2006
Remedy Entertainment,Rockstar Games,9.99,2001
EA Los Angeles,Electronic Arts,19.99,2008
Infinite Interactive,"D3Publisher of America, Inc.",9.99,2007
Momentum Digital Media Technologies,Strategy First,9.99,2007
"Gamebryo,Virtual Playground","ValuSoft, Retroism",9.99,2007
SCS Software,"ValuSoft, Retroism",9.99,2007
SCS Software,"ValuSoft, Retroism",9.99,2007
Pivotal Games,Square Enix,5.99,2008
Bohemia Interactive,Bohemia Interactive,7.99,2007
Spellbound,THQ Nordic,9.99,2006
Haggard Games,1C Company,4.99,2007
Eugen Systems,Atari,2.99,2006
"Frontier,Aspyr (Mac)","Atari, Aspyr (Mac)",19.99,2006
Eugen Systems,Atari,2.99,2005
"Epic Games, Inc.","Epic Games, Inc.",14.99,2003
"Epic Games, Inc.","Epic Games, Inc.",9.99,1998
Sanzaru Games,Nunchuck Games,4.99,2008
Ubisoft,Ubisoft,9.99,2003
Crytek Studios,Ubisoft,9.99,2004
"Epic Games, Inc.","Epic Games, Inc.",9.99,2000
Ubisoft Montreal,Ubisoft,9.99,2006
Ubisoft,Ubisoft,9.99,2005
Last Day of Work,Last Day of Work,9.99,2008
SpinTop Games,"PopCap Games, Inc.",4.99,2008
MumboJumbo,MumboJumbo,9.99,2008
MumboJumbo,MumboJumbo,9.99,2008
MumboJumbo,MumboJumbo,9.99,2008
MumboJumbo,MumboJumbo,9.99,2008
MumboJumbo,MumboJumbo,9.99,2005
MumboJumbo,MumboJumbo,9.99,2007
Ubisoft,Ubisoft,9.99,2007
MumboJumbo,MumboJumbo,9.99,2005
"Ubisoft Bulgaria,Ubisoft Montpellier",Ubisoft,9.99,2007
Ubisoft Romania,Ubisoft,9.99,2007
1C: Maddox Games,1C Online Games,9.99,2006
Ubisoft Romania,Ubisoft,9.99,2008
Telltale Games,Telltale Games,9.99,2005
"Merscom,Babylon","ValuSoft, Retroism",9.99,2005
Telltale Games,Telltale Games,9.99,2006
BigAnt Studios,"ValuSoft, Retroism",9.99,2008
Zemnott,ValuSoft,9.99,2008
Gabriel Entertainment,"ValuSoft, Retroism",9.99,2007
Zemnott,ValuSoft,9.99,2008
Zemnott,"ValuSoft, Retroism",9.99,2007
Frogwares,Frogwares,9.99,2008
Eurocom,SEGA,,2008
Frogwares,Frogwares,9.99,2008
"Luc Bernard,SilverSphereStudios",Silver Sphere Studios,4.99,2008
Lesta Studio,Buka Entertainment,7.99,2007
Dialogue Design,Meridian4,4.99,2008
Bugbear Entertainment,Strategy First,19.99,2008
Oddworld Inhabitants,Oddworld Inhabitants,2.99,1998
Oddworld Inhabitants,Oddworld Inhabitants,2.99,1997
SimBin,SimBin,7.99,2008
"MicroProse Software, Inc",2K Games,4.99,2001
"MicroProse Software, Inc",2K Games,4.99,1997
"MicroProse Software, Inc",2K Games,4.99,1993
GSC Game World,GSC World Publishing,9.99,2008
Crytek,Electronic Arts,19.99,2008
Crytek,Electronic Arts,19.99,2007
"MicroProse Software, Inc",2K Games,4.99,1998
CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",9.99,2008
Introversion Software,Introversion Software,9.99,2008
SimBin,SimBin,2.99,2008
"Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc.",2.49,2008
Firaxis Games,2K Games,19.99,2008
"Red Storm Entertainment,Ubisoft Montreal",Ubisoft,9.99,2003
Traveller's Tales,Warner Bros. Interactive Entertainment,19.99,2008
Monte Cristo,Focus Home Interactive,9.99,2008
"Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc.",9.99,2008
Gearbox Software,Ubisoft,9.99,2008
Dark Castle Software,Dark Castle Software,4.99,2008
Techland,Techland,4.99,2006
Nival,Ubisoft,9.99,2006
Gearbox Software,Ubisoft,9.99,2005
Nival,Ubisoft,9.99,2007
Blue Byte,Ubisoft,19.99,2008
Ubisoft,Ubisoft,9.99,2007
Red Storm Entertainment,Ubisoft,9.99,2002
"PopCap Games, Inc.","PopCap Games, Inc.",4.99,2008
2D BOY,2D BOY,9.99,2008
Egosoft,Egosoft,15.99,2008
Sandstorm Productions,Tripwire Interactive,Free,2008
Shorebound Studios,Shorebound Studios,4.99,2008
Perpetual FX Creative,Perpetual FX Creative,19.99,2008
Rockstar New England,Rockstar Games,14.99,2008
Ubisoft Montreal,Ubisoft,9.99,2008
Meridian4,Meridian4,4.99,2008
RailSimulator.com,Dovetail Games,4.99,2009
RailSimulator.com,Dovetail Games,4.99,2009
RailSimulator.com,Dovetail Games,4.99,2009
Reppo,Dovetail Games,4.99,2009
RailSimulator.com,Dovetail Games,4.99,2009
Dovetail Games,Dovetail Games,4.99,2009
Dovetail Games,Dovetail Games,4.99,2009
Volition,Deep Silver,9.99,2009
EA Redwood Shores,Electronic Arts,19.99,2008
Liquid Entertainment,Codemasters,9.99,2008
DICE,Electronic Arts,19.99,2009
Hidden Path Entertainment,Hidden Path Entertainment,9.99,2008
Monolith,Warner Bros. Interactive Entertainment,14.99,2009
Oxeye Game Studio,Oxeye Game Studio,7.99,2008
Inventive Dingo,Inventive Dingo,9.99,2007
Meridian4,Meridian4,4.99,2009
Black Sea Studios Ltd,Paradox Interactive,9.99,2005
Realmforge Studios,Assemble Entertainment,5.99,2009
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2.99,2009
Deadline Games,Warner Bros. Interactive Entertainment,4.99,2009
Frictional Games,Frictional Games,9.99,2007
"Epic Games, Inc.","Epic Games, Inc.",19.99,2007
Radon Labs,DTP Entertainment,9.99,2009
Certain Affinity™,Capcom,,2009
Tale of Tales,Tale of Tales,4.99,2008
Criterion Games,Electronic Arts,19.99,2009
Zombie Master Team,,,2009
Twisted Pixel Games,Twisted Pixel Games,9.99,2009
Twisted Pixel Games,Twisted Pixel Games,1.25,2009
Twisted Pixel Games,Twisted Pixel Games,1.25,2009
IonFX,Meridian4,4.99,2009
Llamasoft LTD,Llamasoft LTD,9.99,2009
"InnoGlow,Stormregion,THQ Nordic",THQ Nordic,14.99,2009
SpinTop Games,"PopCap Games, Inc.",4.99,2009
ArenaNet®,NCsoft,19.99,2006
ArenaNet®,NCsoft,19.99,2005
ArenaNet®,NCsoft,19.99,2006
ArenaNet®,NCsoft,29.99,2008
Infinite Interactive,Strategy First,14.99,2009
MumboJumbo,MumboJumbo,9.99,2009
Reality Pump Studios,Topware Interactive,9.99,2009
Spellbound,"Black Forest Games, THQ Nordic",9.99,2009
Gaijin Entertainment,Topware Interactive,9.99,2009
ACE Team,ACE Team,9.99,2009
Twisted Pixel Games,Twisted Pixel Games,1.25,2009
1C Company,1C Company,6.99,2008
Last Day of Work,Last Day of Work,9.99,2009
Sky Fallen,1C Company,2.99,2009
Irrational Games,2K Games,4.99,2005
Irrational Games,2K Games,4.99,2002
SaintXi,SaintXi,14.99,2009
Darklight Games,Darklight Games,Free,2009
Radical Entertainment,Activision,19.99,2009
Erik Svedäng,Erik Svedäng,4.99,2009
Ascaron Entertainment ltd.,Strategy First,4.99,2004
Headfirst Productions,Bethesda Softworks,4.99,2006
Bethesda Game Studios,Bethesda Softworks,14.99,2007
Bethesda Game Studios,Bethesda Softworks,14.99,2002
Bethesda Game Studios®,Bethesda Softworks,19.99,2009
Deck 13,Strategy First,4.99,2007
NovaLogic,"NovaLogic, THQ Nordic",9.99,1999
NovaLogic,"NovaLogic, THQ Nordic",9.99,1998
Mascot Entertainment,Strategy First,4.99,2008
Techland,Ubisoft,9.99,2009
HeR Interactive,HeR Interactive,6.99,2007
HeR Interactive,HeR Interactive,6.99,2006
HeR Interactive,HeR Interactive,6.99,2008
HeR Interactive,HeR Interactive,6.99,2007
Digital Eel,Digital Eel,Free,2008
Telltale Games,Telltale Games,19.99,2009
Capcom,Capcom,19.99,2009
Frontier,LucasArts,9.99,2007
LucasArts,"LucasArts, Lucasfilm, Disney Interactive",5.99,1992
Planet Moon Studios,"LucasArts, Lucasfilm, Disney Interactive",5.99,2003
Pandemic Studios,"Lucasfilm, LucasArts, Disney Interactive",9.99,2005
LucasArts,"LucasArts, Lucasfilm, Disney Interactive",5.99,1989
Traveller's Tales,"LucasArts, Lucasfilm, Disney Interactive",19.99,2008
LucasArts,"LucasArts, Lucasfilm, Disney Interactive",9.99,2009
GFI Russia,Game Factory Interactive,12.99,2008
Targem Games,Game Factory Interactive,9.99,2009
HeR Interactive,HeR Interactive,6.99,2009
Her Interactive,Her Interactive,,2009
Wanako Games,Activision,9.99,2006
Sierra,Activision,19.99,2006
Saber Interactive,Activision,19.99,2007
Sierra,Activision,19.99,2006
Tripwire Interactive,Tripwire Interactive,7.99,2009
Artech Studios,Activision,9.99,2008
"PopTop Software,BreakAway Games,Frog City Software",Kalypso Media Digital,6.99,2009
SpinTop Games,"PopCap Games, Inc.",4.99,2009
Capcom,Capcom,9.99,2008
Capcom,Capcom,9.99,2009
Deadline Games,Warner Bros. Interactive Entertainment,4.99,2009
Sakari Indie,Sakari Indie,4.99,2009
"BioWare,Aspyr (Mac)","LucasArts, Aspyr (Mac), Disney Interactive, Lucasfilm",9.99,2003
Hemisphere Games,Hemisphere Games,9.99,2009
Black Isle Studios,Bethesda Softworks,9.99,1998
14° East,Bethesda Softworks,9.99,2001
Xatrix Entertainment,Interplay Inc.,9.99,1999
Shiny Entertainment,Interplay Inc.,9.99,2000
IO Interactive,"SQUARE ENIX, Eidos Interactive",,2009
Telltale Games,Telltale Games,19.99,2009
iWin,iWin,19.99,2009
iWin,iWin,9.99,2009
Size Five Games,Size Five Games,4.99,2009
Ubisoft Montreal,Ubisoft,9.99,2005
Unicorn Games Studio,1C Company,4.99,2009
Blue Fang,THQ Nordic,14.99,2009
IO Interactive,Square Enix,9.99,2009
"Freeze Tag Inc.,iQ212",Freeze Tag Inc.,19.99,2009
"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",Freeze Tag Inc.,19.99,1999
"Vectorpark, Inc.","Vectorpark, Inc.",2.99,2009
All Aboard,Dovetail Games - Trains,24.99,2009
MumboJumbo,MumboJumbo,9.99,2009
Telltale Games,Telltale Games,19.99,2009
NovaLogic,"NovaLogic, THQ Nordic",19.99,2009
Dovetail Games,Dovetail Games - Trains,17.99,2009
PlayFirst,PlayFirst,9.99,2009
Dovetail Games,Dovetail Games - Trains,19.99,2009
Piranha Bytes,Deep Silver,9.99,2009
Honeyslug,Square Enix,3.99,2009
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",9.99,2009
Amanita Design,Amanita Design,9.99,2009
EA Los Angeles,Electronic Arts,9.99,2007
Slightly Mad Studios,Electronic Arts,19.99,2009
Runic Games,Runic Games,14.99,2009
EA Los Angeles,Electronic Arts,19.99,2009
FireFly Studios,FireFly Studios,19.99,2009
Nitro Games,Nitro Games,4.99,2009
Homegrown Games,THQ Nordic,9.99,2009
"Phenomic,THQ Nordic",THQ Nordic,14.99,2009
Animation Arts,Deep Silver,9.99,2009
Stormregion,Deep Silver,4.99,2009
Telltale Games,Telltale Games,19.99,2009
1C Company,"1C Company, 1C-SoftClub",4.99,2009
Konstantin Koshutin,KranX Productions,4.99,2009
Phenomic,THQ Nordic,9.99,2009
Wargaming.net,Wargaming.net,9.99,2005
Wargaming.net,Matrix Games/GMX Media,9.99,2003
HeR Interactive,HeR Interactive,6.99,2009
Croteam,Devolver Digital,14.99,2009
Animation Arts,Deep Silver,9.99,2009
BioWare,Electronic Arts,19.99,2009
Citeremis Inc.,Citeremis Inc.,4.99,2009
Yullaby,Yullaby,1.99,2009
Crystal Empire Games,Paradox Interactive,9.99,2009
"Infinity Ward,Aspyr (Mac)","Activision, Aspyr (Mac)",19.99,2009
"Traveller's Tales,Feral Interactive (Mac)","LucasArts, Lucasfilm, Disney Interactive, Feral Interactive (Mac)",19.99,2009
"Triumph Studios,Virtual Programming",Codemasters,4.99,2007
"Triumph Studios,Virtual Programming",Codemasters,9.99,2008
EA Los Angeles,Electronic Arts,14.99,2007
KranX Productions,KranX Productions,4.99,2008
EA Los Angeles,Electronic Arts,19.99,2009
Positech Games,Positech Games,14.99,2009
Gaijin Entertainment,Gaijin Entertainment,9.99,2009
inXile Entertainment,inXile Entertainment,9.99,2005
Defence Alliance Team,Tripwire Interactive,Free,2009
"LucasArts,Aspyr Studios","LucasArts, Aspyr (Mac), Lucasfilm, Disney Interactive",19.99,2009
Paradox Interactive,Paradox Interactive,9.99,2009
Bethesda Game Studios,Bethesda Softworks,19.99,2009
Positech Games,Positech Games,5.99,2009
Hip Soft,iWin,9.99,2007
Hip Soft,iWin,9.99,2008
Hip Soft,iWin,9.99,2009
iWin,iWin,9.99,2009
Spidermonk Entertainment,SouthPeak Games,1.99,2009
Capcom,Capcom,19.99,2008
ClockStone Studios,Meridian4,9.99,2010
Hip Soft,iWin,9.99,2009
Octoshark Studios,Octoshark Studios,Free,2010
Alawar,iWin,4.99,2008
Alawar,iWin,9.99,2010
Alawar,iWin,9.99,2009
Alawar,iWin,4.99,2007
Alawar,iWin,4.99,2009
Sandlot Games,Sandlot Games,6.99,2010
Sandlot Games,Sandlot Games,6.99,2010
Cateia Games,Sandlot Games,6.99,2010
Chaos Concept,ND Games,9.99,2010
Traveller's Tales,"LucasArts, Lucasfilm, Disney Interactive",19.99,2010
Eurocom,SEGA,,2010
New Star Games Ltd,New Star Games Ltd,4.99,2010
Paradox Interactive,Paradox Interactive,0.99,2010
The Farm 51,1C Company,6.99,2010
Awem Studio,iWin,9.99,2007
Rebellion,SEGA,7.49,2010
Croteam,Devolver Digital,9.99,2001
All Aboard,Dovetail Games - Trains,19.99,2010
TaleWorlds Entertainment,TaleWorlds Entertainment,19.99,2010
ZoopTEK,ZoopTEK,4.99,2010
Beatnik Games,Beatnik Games,4.99,2010
Fatshark,Fatshark,9.99,2010
Rockstar North / Toronto,Rockstar Games,19.99,2010
Other Ocean Interactive,Capcom,4.99,2010
Nemesys Games,Nemesys Games,0.99,2010
Cold Beam Games,Cold Beam Games,9.99,2010
Telltale Games,Telltale Games,19.99,2010
Realmforge Studios,Kalypso Media Digital,9.99,2010
Gaijin Entertainment,Gaijin Entertainment,4.99,2010
The Odd Gentlemen,2K Play,4.99,2010
THQ Nordic,THQ Nordic,4.99,2003
THQ Nordic,THQ Nordic,4.99,2001
Red Chain Games Ltd.,Red Chain Games Ltd.,1.99,2010
Big Fish Games,Big Fish Games,9.99,2006
Big Fish Games,Big Fish Games,9.99,2008
"The Creative Assembly,Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)",2.99,2010
Sarbakan,PlayFirst,6.99,2008
PlayFirst,PlayFirst,6.99,2009
Absolutist Ltd.,PlayFirst,6.99,2009
PlayFirst,PlayFirst,6.99,2007
PlayFirst,PlayFirst,6.99,2009
PlayFirst,PlayFirst,6.99,2010
PlayFirst,PlayFirst,6.99,2008
PlayFirst,PlayFirst,6.99,2007
PlayFirst,PlayFirst,6.99,2009
G5 Entertainment,"Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",9.99,2010
ISOTX,ISOTX,,2008
Climax Studios,"Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",14.99,2010
Press Play,The Games Company,,2010
Muse Games,Muse Games,4.99,2010
Ideas Pad,Merge Games,4.99,2010
Ubisoft,Ubisoft,19.99,2010
Kokakiki,Kalypso Media Digital,4.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
D3T Limited,SEGA,61.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,4.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
Obsidian Entertainment,SEGA,14.99,2010
Team17 Software Ltd.,Team17 Digital Ltd,9.99,2010
Bethesda Game Studios,Bethesda Softworks,4.99,2010
Hidden Path Entertainment,Hidden Path Entertainment,0.99,2010
Bethesda Game Studios,Bethesda Softworks,4.99,2010
Bethesda Game Studios,Bethesda Softworks,4.99,2010
Bethesda Game Studios,Bethesda Softworks,4.99,2010
Valve,Valve,Free,2010
Bethesda Game Studios,Bethesda Softworks,4.99,2010
"EA - Maxis,Aspyr (Mac)","Electronic Arts, Aspyr (Mac)",19.99,2003
"Akella,.dat",Kalypso Media Digital,14.99,2010
"Arcen Games, LLC","Arcen Games, LLC",4.99,2010
Invent4 Entertainment,Strategy First,9.99,2010
Blue Byte,Ubisoft,3.99,2010
Dagger Games,Strategy First,9.99,2008
IO Interactive,Square Enix,9.99,2010
Rune Forge,THQ Nordic,9.99,2010
Paradox Interactive,Paradox Interactive,0.99,2010
N3V Games,N3V Games,19.99,2010
Ino-Co,1C Company,4.99,2010
"2K Czech,Feral Interactive (Mac)","2K Games, Feral Interactive (Mac)",29.99,2011
Dovetail Games,Dovetail Games - Trains,4.99,2010
Infinite Interactive,"Namco Networks America, Inc.",9.99,2010
doublesix,P2 Games,9.99,2010
Playbrains,Playbrains,1.99,2010
Playbrains,Playbrains,1.99,2010
Playbrains,Playbrains,1.99,2010
Playbrains,Playbrains,2.99,2010
Paradox Development Studio,Paradox Interactive,9.99,2010
VStep,Paradox Interactive,19.99,2010
Team17 Digital Ltd,Team17 Digital Ltd,19.99,2010
Muzzy Lane Software,Factus Games,14.99,2010
Bohemia Interactive,Bohemia Interactive,8.99,2010
Paradox Development Studio,Paradox Interactive,19.99,2010
DnS Development,DnS Development,,2010
Playbrains,Playbrains,1.99,2010
IO Interactive,"SQUARE ENIX, Eidos Interactive",5.99,2010
IO Interactive,"SQUARE ENIX, Eidos Interactive",1.99,2010
N3V Games,N3V Games,19.99,2010
IO Interactive,"SQUARE ENIX, Eidos Interactive",2.99,2010
GSC Game World,GSC World Publishing,4.99,2002
Revolution Software Ltd,Revolution Software Ltd,5.99,2010
Zoë Mode,OneBigGame,4.99,2010
"2K Czech,Feral Interactive (Mac)","2K Games, Feral Interactive (Mac)",9.99,2010
City Interactive,CI Games,1.99,2010
Terry Cavanagh,Terry Cavanagh,4.99,2010
Blue Byte,Ubisoft,3.99,2010
Frictional Games,Frictional Games,19.99,2010
EasyGameStation,Carpe Fulgur LLC,19.99,2010
Dedication Games,Dedication Games,3.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
exosyphen studios,exosyphen studios,4.99,2010
exosyphen studios,exosyphen studios,4.99,2010
Subsoap,Subsoap,9.99,2010
Gaming Minds Studios,Kalypso Media Digital,14.99,2010
SEGA,SEGA,2.99,2010
Katauri Interactive,1C Company,14.99,2010
Dovetail Games,Dovetail Games - Trains,4.99,2010
"Firaxis Games,Aspyr (Mac, Linux)","2K Games, Aspyr (Mac, Linux)",29.99,2010
Nitro Games,Nitro Games,4.99,2010
Croteam,Devolver Digital,9.99,2002
Blind Mind Studios,Blind Mind Studios,9.99,2010
Krome Studios,Krome Studios,2.99,2010
Team17 Digital Ltd,Team17 Digital Ltd,9.99,2010
Croteam,Devolver Digital,,2010
Vigil Games,THQ Nordic,19.99,2010
Egosoft,Egosoft,4.99,1999
NeoCoreGames,Paradox Interactive,9.99,2010
ArenaNet®,NCsoft,19.99,2007
Egosoft,Egosoft,4.99,2000
Triumph Studios,Paradox Interactive,9.99,2010
I Sioux Game Productions B.V.,Youdagames,7.99,2010
I Sioux Game Productions B.V.,Youdagames,14.99,2010
Triumph Studios,Paradox Interactive,9.99,2010
Triumph Studios,Paradox Interactive,5.99,2010
Electronic Arts,Electronic Arts,19.99,2010
"Headup Games,Silent Dreams",Headup Games,9.99,2010
"CAPCOM CO., LTD.",Capcom,19.99,2010
Stickmen Studios,Stickmen Studios,4.99,2010
Obsidian Entertainment,Bethesda Softworks,9.99,2010
Dmytry Lavrov,Dmytry Lavrov,6.99,2010
Ivy Games,Wadjet Eye Games,4.99,2010
Noumenon Games,Noumenon Games,9.99,2010
"Firaxis Games,Aspyr (Mac, Linux)","2K Games, Aspyr (Mac, Linux)",4.99,2010
Hothead Games,Electronic Arts,14.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,4.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
SEGA,SEGA,2.99,2010
Klei Entertainment,Klei Entertainment,9.99,2010
Teotl Studios,Tripwire Interactive,9.99,2010
Aspyr Studios,"LucasArts, Lucasfilm, Disney Interactive",19.99,2010
Firemint,Firemint,4.99,2010
Ascaron Entertainment ltd.,Kalypso Media Digital,4.99,2010
Gaijin Games,Gaijin Games,9.99,2010
1C Company,1C Company,1.99,2010
Nitro Games,Nitro Games,4.99,2010
Tomkorp Computer Solutions Inc.,Tomkorp Computer Solutions Inc.,4.99,2010
Paradox Interactive,Paradox Interactive,1.99,2010
Double Helix Games,"Square Enix, Eidos Interactive",3.99,2010
Centauri Production,Bohemia Interactive,9.99,2010
Centauri Production,Bohemia Interactive,6.99,2009
Centauri Production,Bohemia Interactive,12.99,2010
Altar Games,Bohemia Interactive,4.99,2007
React Games,React Games,9.99,2010
Treyarch,Activision,39.99,2010
Sonic Boom Games,Sonic Boom Games,0.99,2010
Joshyy,,4.99,2010
Oddworld Inhabitants,Oddworld Inhabitants,4.99,2010
Sonic Boom Games,Sonic Boom Games,1.99,2010
Oddworld Inhabitants,Oddworld Inhabitants,9.99,2010
"Ntreev Soft Co., Ltd.",Zero Rock Entertainment,4.99,2010
Telltale Games,Telltale Games,19.99,2010
Rockstar Games,Rockstar Games,9.99,2002
Rockstar Games,Rockstar Games,14.99,2005
Crystal Dynamics Inc.,Square Enix,3.49,2011
Crystal Dynamics Inc.,Square Enix,3.49,2011
Crystal Dynamics,Square Enix,3.49,2011
Crystal Dynamics Inc.,Square Enix,3.49,2011
Rockstar Games,Rockstar Games,9.99,2003
Brightside Games,Ubisoft,9.99,2011
Extend Studio,"Extend Studio, ORiGO GAMES",4.99,2011
BlueGiant Interactive,BlueGiant Interactive,14.99,2011
Visceral Games,Electronic Arts,19.99,2011
Big Fish Studios,Big Fish Games,9.99,2011
Cateia Games,Libredia,4.99,2011
SEGA,SEGA,2.99,2011
Uber Entertainment,Uber Entertainment,4.99,2011
MumboJumbo,MumboJumbo,9.99,2011
SEGA,SEGA,2.99,2011
SEGA,SEGA,2.99,2011
SEGA,SEGA,2.99,2011
SEGA,SEGA,2.99,2011
SEGA,SEGA,2.99,2011
SEGA,SEGA,4.99,2011
SEGA,SEGA,2.99,2011
SEGA,SEGA,4.99,2011
SEGA,SEGA,2.99,2011
SEGA,SEGA,4.99,2011
SEGA,SEGA,2.99,2011
SEGA,SEGA,2.99,2011
The Sims Studio,Electronic Arts,19.99,2009
VStep,Paradox Interactive,3.99,2011
The Sims Studio,Electronic Arts,19.99,2010
The Sims Studio,Electronic Arts,19.99,2009
The Sims Studio,Electronic Arts,19.99,2010
The Sims Studio,Electronic Arts,19.99,2010
The Sims Studio,Electronic Arts,19.99,2010
Trinoteam,LoadComplete,4.99,2011
Virtual Prophecy Entertainment,"Namco Networks America, Inc.",14.99,2011
The Sims Studio,Electronic Arts,19.99,2011
Mediatonic,Kalypso Media Digital,5.99,2011
